# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.990770 eV
#    Energy (eV)      DOS 
        -13.24322998          2.57718491
        -13.24122998          2.53641554
        -13.23922998          2.49447766
        -13.23722998          2.45146030
        -13.23522998          2.40745333
        -13.23322998          2.36254705
        -13.23122998          2.31683159
        -13.22922998          2.27039656
        -13.22722998          2.22333052
        -13.22522998          2.17572062
        -13.22322998          2.12765221
        -13.22122998          2.07920852
        -13.21922998          2.03047037
        -13.21722998          1.98151591
        -13.21522998          1.93242042
        -13.21322998          1.88325615
        -13.21122998          1.83409221
        -13.20922998          1.78499445
        -13.20722998          1.73602546
        -13.20522998          1.68724454
        -13.20322998          1.63870776
        -13.20122998          1.59046797
        -13.19922998          1.54257491
        -13.19722998          1.49507531
        -13.19522998          1.44801301
        -13.19322998          1.40142911
        -13.19122998          1.35536207
        -13.18922998          1.30984793
        -13.18722998          1.26492039
        -13.18522998          1.22061101
        -13.18322998          1.17694935
        -13.18122998          1.13396308
        -13.17922998          1.09167814
        -13.17722998          1.05011883
        -13.17522998          1.00930796
        -13.17322998          0.96926686
        -13.17122998          0.93001554
        -13.16922998          0.89157269
        -13.16722998          0.85395573
        -13.16522998          0.81718088
        -13.16322998          0.78126309
        -13.16122998          0.74621615
        -13.15922998          0.71205257
        -13.15722998          0.67878363
        -13.15522998          0.64641933
        -13.15322998          0.61496834
        -13.15122998          0.58443800
        -13.14922998          0.55483421
        -13.14722998          0.52616145
        -13.14522998          0.49842273
        -13.14322998          0.47161950
        -13.14122998          0.44575168
        -13.13922998          0.42081760
        -13.13722998          0.39681397
        -13.13522998          0.37373588
        -13.13322998          0.35157684
        -13.13122998          0.33032869
        -13.12922998          0.30998172
        -13.12722998          0.29052464
        -13.12522998          0.27194463
        -13.12322998          0.25422741
        -13.12122998          0.23735727
        -13.11922998          0.22131718
        -13.11722998          0.20608882
        -13.11522998          0.19165273
        -13.11322998          0.17798834
        -13.11122998          0.16507411
        -13.10922998          0.15288762
        -13.10722998          0.14140572
        -13.10522998          0.13060456
        -13.10322998          0.12045979
        -13.10122998          0.11094662
        -13.09922998          0.10203996
        -13.09722998          0.09371452
        -13.09522998          0.08594492
        -13.09322998          0.07870581
        -13.09122998          0.07197195
        -13.08922998          0.06571831
        -13.08722998          0.05992019
        -13.08522998          0.05455326
        -13.08322998          0.04959366
        -13.08122998          0.04501807
        -13.07922998          0.04080378
        -13.07722998          0.03692872
        -13.07522998          0.03337154
        -13.07322998          0.03011161
